country_code,year,mean_happy,mean_gini,mean_unemployment,n
AT,2014,7.32886655499721,27.6,6,1795
AT,2016,7.551724137931034,27.2,6.5,2010
AT,2018,7.795180722891567,26.8,5.2,2499
AT,2023,7.7815699658703075,28.1,5.1,2354
BE,2014,7.751556310130163,25.9,8.7,1769
BE,2016,7.753541076487252,26.3,7.9,1766
BE,2018,7.809523809523809,25.7,6,1767
BE,2020,7.730597014925373,25.3,5.8,1341
BE,2023,7.778544542032622,24.3,5.5,1594
BG,2018,5.54628780934922,39.6,6.2,2198
BG,2020,6.270887007729112,40,6.1,2718
BG,2023,6.3592841163310965,37.2,4.3,2239
CH,2014,8.089425587467364,29.5,4.9,1532
CH,2016,8.18253447143795,29.4,5,1525
CH,2018,8.17845554834523,29.7,4.7,1542
CH,2020,8.086014445173998,31.2,4.8,1523
CH,2023,8.154347826086957,31.5,4.1,1384
CZ,2014,6.891458235016518,25.1,6.1,2148
CZ,2016,6.868316394167033,25.1,4,2269
CZ,2018,7.004217629692112,24,2.2,2398
CZ,2020,6.907980456026058,24.2,2.6,2476
DE,2014,7.60559210526316,30.7,4.7,3045
DE,2016,7.756405756405753,29.5,3.9,2852
DE,2018,7.818259023354564,31.1,3.2,2358
DE,2023,7.762929251137773,29.4,3.1,2420
DK,2014,8.235294117647058,27.7,6.9,1502
DK,2018,8.384271099744245,27.8,5.1,1572
EE,2014,6.936554416788674,35.6,7.3,2051
EE,2016,7.237835153922543,32.7,6.8,2019
EE,2018,7.329306722689076,30.6,5.4,1904
EE,2020,7.499026606099937,30.5,6.9,1542
EE,2023,7.353762606671839,31.8,6.4,1293
ES,2014,7.4248569942797715,34.7,24.5,1925
ES,2016,7.74142345110087,34.5,19.6,1958
ES,2018,7.690547862733292,33.2,15.3,1668
ES,2023,7.847991313789361,31.5,12.2,1844
FI,2014,8.043144774688399,25.6,8.7,2087
FI,2016,8.144640998959417,25.4,8.9,1925
FI,2018,8.17808219178082,25.9,7.5,1755
FI,2020,8.155654383735705,26.5,7.7,1577
FI,2023,8.073717948717949,26.6,7.2,1563
FR,2014,7.191745036572622,29.2,10.3,1917
FR,2016,7.213733075435198,29.3,10.1,2070
FR,2018,7.240379810094953,28.5,9,2010
FR,2020,7.4420253164556955,29.2,8,1977
FR,2023,7.4267119411431795,29.7,7.3,1771
GB,2014,7.474336283185841,NA,NA,2264
GB,2016,7.636363636363634,NA,NA,1959
GB,2018,7.570259208731241,NA,NA,2204
GB,2020,7.288327526132403,NA,NA,1149
GB,2023,7.434704830053667,NA,NA,1684
GR,2020,6.579455977093772,NA,NA,2799
GR,2023,6.736095965103599,NA,NA,2757
HR,2018,7.433166943982252,29.7,8.3,1810
HR,2020,7.506607929515418,28.3,7.4,1592
HR,2023,7.551701991008349,29.7,6.1,1563
HU,2014,6.373151981076284,28.6,7.5,1698
HU,2016,6.808695652173913,28.2,5,1614
HU,2018,6.6435464414957774,28.7,3.6,1661
HU,2020,7.017876489707476,28.2,4.1,1849
HU,2023,7.103219696969698,28.6,4.1,2118
IE,2014,7.197401508801345,31,11.9,2390
IE,2016,7.506531204644412,29.6,8.4,2757
IE,2018,7.7040216900135565,28.9,5.8,2216
IE,2020,7.585600907029478,27.6,5.9,1770
IE,2023,7.689484126984127,27.4,4.3,2017
IS,2016,8.134396355353076,24.1,3,880
IS,2018,8.287209302325582,23.2,2.7,861
IS,2020,8.085650723025585,24,5.5,903
IS,2023,8.073809523809524,NA,3.5,842
IT,2016,7.1212700841622025,33.1,11.7,2626
IT,2018,7.033662641785584,33.4,10.6,2745
IT,2020,7.051750380517504,32.5,9.3,2640
IT,2023,6.8868189806678375,31.5,7.7,2865
LT,2014,6.259309718437788,35,10.7,2250
LT,2016,6.307211538461537,37,7.9,2122
LT,2018,6.8369803063457315,36.9,6.2,1835
LT,2020,7.1222760290556915,35.1,8.5,1659
LT,2023,7.412196914033798,35.7,6.9,1365
LV,2018,7.128430296377606,35.6,7.4,918
LV,2023,6.812199036918138,34,6.5,1252
ME,2018,7.608695652173913,34.7,15.2,1200
ME,2020,7.565934065934066,32.9,17.9,1278
ME,2023,6.506273525721457,NA,NA,1609
MK,2020,6.64586255259467,31.4,16.4,1429
NL,2014,7.77853048462741,26.2,8.4,1919
NL,2016,7.879618593563767,26.9,7,1681
NL,2018,8.018551765409933,27.4,4.9,1673
NL,2020,7.899863760217984,28.2,4.9,1470
NL,2023,7.928571428571428,26.5,3.6,1695
NO,2014,7.983972125435541,23.5,3.8,1436
NO,2016,8.112694300518134,25,4.9,1545
NO,2018,7.993585174625802,24.8,4,1406
NO,2020,7.8214032600992205,25.3,4.7,1411
NO,2023,7.949812734082397,24.7,3.6,1337
PL,2014,7.2471839799749675,30.8,9.2,1615
PL,2016,7.477313974591651,29.8,6.3,1694
PL,2018,7.2591093117408905,27.8,3.9,1500
PL,2023,7.600279524807826,27,2.8,1442
PT,2014,6.858730158730158,34.5,14.6,1265
PT,2016,7.2975532754538275,33.9,11.5,1270
PT,2018,7.48338081671415,32.1,7.2,1055
PT,2020,6.968886462882096,31.2,7.1,1838
PT,2023,7.071585098612125,33.7,6.5,1373
RS,2018,6.763079960513328,35.6,13.8,2043
RS,2023,7.251443232841564,31.7,9.5,1563
RU,2016,6.241753653444677,NA,NA,2430
SE,2014,7.905322128851541,26.9,8,1791
SE,2016,7.848249027237355,27.6,7.1,1551
SE,2018,7.879163945133899,27,6.5,1539
SE,2023,7.747145187601957,29.5,7.7,1230
SI,2014,7.0680327868852455,25,9.7,1224
SI,2016,7.466973886328725,24.4,8,1307
SI,2018,7.617199391171994,23.4,5.1,1318
SI,2020,7.6915064102564115,23.5,5,1252
SI,2023,7.780290791599353,23.4,3.7,1248
SK,2018,6.606877323420075,20.9,6.5,1083
SK,2020,6.538841807909604,20.9,6.7,1418
SK,2023,6.5661301609517135,21.6,5.8,1442
UA,2023,6.138910207214121,NA,NA,2661
